[2025-01-21 18:19:49.854] [MAIN] Uruchamiam proces pszczelarz...
[2025-01-21 18:19:49.854] [MAIN] Uruchamiam proces ul...
[2025-01-21 18:19:49.854] [MAIN] Uruchamiam proces krolowa...
[2025-01-21 18:19:53.858] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139863428937408
[2025-01-21 18:19:53.859] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139861566674624
[2025-01-21 18:19:53.859] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139863573128896
[2025-01-21 18:19:53.859] Stan: 48/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139863556343488
[2025-01-21 18:19:53.859] Stan: 49/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139860593579712
[2025-01-21 18:19:53.859] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139860601972416
[2025-01-21 18:19:53.860] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139863564736192
[2025-01-21 18:19:53.860] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139860308391616
[2025-01-21 18:19:53.861] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862380373696
[2025-01-21 18:19:53.861] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139862657201856
[2025-01-21 18:19:53.862] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862103545536
[2025-01-21 18:19:53.862] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139860291606208
[2025-01-21 18:19:53.863] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862632023744
[2025-01-21 18:19:53.863] Stan: 48/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139862069974720
[2025-01-21 18:19:53.863] Stan: 49/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139860274820800
[2025-01-21 18:19:53.864] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139861549889216
[2025-01-21 18:19:53.864] Stan: 49/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139861818324672
[2025-01-21 18:19:53.864] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139860266428096
[2025-01-21 18:19:53.864] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139861801539264
[2025-01-21 18:19:53.865] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139862371980992
[2025-01-21 18:19:53.865] Stan: 49/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862363588288
[2025-01-21 18:19:53.875] Stan: 48/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862120330944
[2025-01-21 18:19:53.876] Stan: 49/50, [ROBOTNICA] Pszczoła weszła wejsciem 2, id: 139861533103808
[2025-01-21 18:19:53.876] Stan: 48/50, [ROBOTNICA] Pszczolas wyszla wejsciem 2, id: 139861541496512
[2025-01-21 18:19:53.876] Stan: 47/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139861298239168
[2025-01-21 18:19:53.876] Stan: 48/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139859947669184
[2025-01-21 18:19:53.876] Stan: 47/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139860635543232
[2025-01-21 18:19:53.876] Stan: 48/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139862883673792
[2025-01-21 18:19:53.876] Stan: 47/50, [ROBOTNICA] Pszczola wyszla wejsciem 1, id: 139862925637312
[2025-01-21 18:19:53.877] Stan: 48/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139861306631872
[2025-01-21 18:19:53.877] Stan: 49/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139862917244608
[2025-01-21 18:19:53.877] Stan: 50/50, [ROBOTNICA] Pszczoła weszła wejsciem 1, id: 139859972847296
